                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9182,                 4.9254,                 4.0652,                0.00018,                0.01852,                 0.0001,                  3e-05,                  3.698,                 5.0947,                 4.2424,             0.00054889,             0.00054889,             0.00054889
                      2,                 2.8929,                 3.9185,                 3.0912,                0.05401,                0.33081,                0.03272,                0.01167,                 2.4189,                 55.655,                 3.3134,              0.0010827,              0.0010827,              0.0010827
                      3,                 2.5907,                 3.1235,                 2.6146,                0.35853,                0.23906,                0.16058,                0.06142,                 2.1916,                 3.7335,                 2.4479,              0.0015945,              0.0015945,              0.0015945
                      4,                 2.3836,                 2.7474,                 2.4281,                0.33059,                0.35606,                0.26537,                0.11385,                 2.0137,                 2.6379,                 2.3794,               0.001568,               0.001568,               0.001568
                      5,                 2.2571,                 2.4219,                 2.2846,                 0.2589,                0.36378,                0.21062,                0.08979,                 1.9143,                 2.8863,                 2.2675,               0.001568,               0.001568,               0.001568
                      6,                 2.2047,                 2.3123,                 2.2005,                0.36625,                0.38928,                0.33439,                0.14872,                 1.8835,                   2.19,                 2.2247,               0.001535,               0.001535,               0.001535
                      7,                 2.1205,                  2.187,                 2.1599,                0.60753,                0.39238,                 0.4339,                0.21127,                 1.7934,                 2.0083,                 2.1189,               0.001502,               0.001502,               0.001502
                      8,                 2.0724,                  2.173,                 2.1242,                0.54945,                0.46317,                 0.4259,                0.20222,                 1.7523,                 1.8465,                 2.0384,               0.001469,               0.001469,               0.001469
                      9,                 2.0094,                 1.9794,                 2.0476,                 0.5338,                 0.4046,                0.43888,                0.19232,                 1.9029,                 1.9769,                 2.1683,               0.001436,               0.001436,               0.001436
                     10,                 1.9591,                 1.8983,                 2.0101,                0.50227,                0.53766,                0.49428,                0.21605,                 1.8184,                   1.81,                  2.111,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.9655,                 1.9007,                  2.004,                0.48748,                0.50196,                0.45869,                0.22585,                 1.7453,                 1.7473,                 2.0492,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.8939,                 1.8395,                 1.9312,                 0.5178,                0.53591,                0.49934,                0.24507,                 1.6774,                 1.6286,                 1.9562,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.8506,                  1.687,                 1.9046,                0.48467,                0.54846,                0.48566,                0.24745,                 1.7291,                 1.6436,                 1.9641,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.8256,                 1.6559,                 1.8992,                0.58973,                0.54461,                0.54137,                0.26763,                 1.7147,                 1.6234,                 1.9497,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.8177,                 1.6379,                 1.8915,                  0.517,                0.55247,                0.52784,                0.25997,                  1.731,                 1.5393,                  1.987,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.8164,                 1.6135,                 1.8764,                0.51679,                0.62009,                0.55112,                 0.2958,                 1.5453,                 1.5263,                 1.8698,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.7631,                 1.5662,                 1.8542,                0.64102,                0.63661,                0.60922,                0.30377,                 1.6551,                 1.4784,                 1.9257,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.7403,                 1.5221,                 1.8082,                0.57712,                0.69444,                0.60868,                0.31535,                 1.5699,                 1.2964,                 1.8759,              0.0011389,              0.0011389,              0.0011389
                     19,                  1.738,                 1.5144,                 1.8123,                0.57852,                0.64952,                0.60224,                0.32206,                 1.6287,                 1.4177,                 1.8879,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.7006,                 1.4805,                 1.7645,                0.58734,                0.62552,                0.58893,                0.30238,                 1.6571,                 1.3596,                 1.9011,              0.0010729,              0.0010729,              0.0010729
